Year,Store Name,Day Name,Total Revenue
2021,Alton,Sunday,$220566
2021,Alton,Monday,$241663
2021,Alton,Tuesday,$253255
2021,Alton,Wednesday,$259073
2021,Alton,Thursday,$263422
2021,Alton,Friday,$311285
2021,Alton,Saturday,$315041
2021,Arnold,Sunday,$211639
2021,Arnold,Monday,$206983
2021,Arnold,Tuesday,$215830
2021,Arnold,Wednesday,$221053
2021,Arnold,Thursday,$227529
2021,Arnold,Friday,$269734
2021,Arnold,Saturday,$299801
2021,Bayless,Sunday,$137001
2021,Bayless,Monday,$131743
2021,Bayless,Tuesday,$135430
2021,Bayless,Wednesday,$140079
2021,Bayless,Thursday,$138729
2021,Bayless,Friday,$158108
2021,Bayless,Saturday,$172635
2021,Belleville,Sunday,$125209
2021,Belleville,Monday,$149472
2021,Belleville,Tuesday,$149949
2021,Belleville,Wednesday,$162923
2021,Belleville,Thursday,$158113
2021,Belleville,Friday,$193013
2021,Belleville,Saturday,$195374
2021,Brentwood,Sunday,$130446
2021,Brentwood,Monday,$138757
2021,Brentwood,Tuesday,$139151
2021,Brentwood,Wednesday,$149225
2021,Brentwood,Thursday,$138318
2021,Brentwood,Friday,$173652
2021,Brentwood,Saturday,$201689
2021,Bridgeton Outlet,Sunday,$222681
2021,Bridgeton Outlet,Monday,$215388
2021,Bridgeton Outlet,Tuesday,$222397
2021,Bridgeton Outlet,Wednesday,$219854
2021,Bridgeton Outlet,Thursday,$217948
2021,Bridgeton Outlet,Friday,$228841
2021,Bridgeton Outlet,Saturday,$252197
2021,Cape Girardeau,Sunday,$174321
2021,Cape Girardeau,Monday,$207324
2021,Cape Girardeau,Tuesday,$214153
2021,Cape Girardeau,Wednesday,$228951
2021,Cape Girardeau,Thursday,$227950
2021,Cape Girardeau,Friday,$245103
2021,Cape Girardeau,Saturday,$275489
2021,Carbondale,Sunday,$155157
2021,Carbondale,Monday,$181106
2021,Carbondale,Tuesday,$178137
2021,Carbondale,Wednesday,$187958
2021,Carbondale,Thursday,$182738
2021,Carbondale,Friday,$211188
2021,Carbondale,Saturday,$235726
2021,Centralia,Sunday,$110186
2021,Centralia,Monday,$127688
